crop,location,date,buying_price,selling_price
rice,karnataka,01-01-2022,1809.0,2128.24
rice,karnataka,29-01-2022,1722.87,2026.91
rice,karnataka,26-02-2022,1700.86,2001.01
rice,karnataka,26-03-2022,1722.27,2026.2
rice,karnataka,23-04-2022,1879.34,2210.99
rice,karnataka,21-05-2022,1856.87,2184.55
rice,karnataka,18-06-2022,1916.49,2254.7
rice,karnataka,16-07-2022,1924.18,2263.74
rice,karnataka,13-08-2022,1909.44,2246.4
rice,karnataka,10-09-2022,2015.15,2370.77
rice,karnataka,08-10-2022,1922.07,2261.26
rice,karnataka,05-11-2022,1977.52,2326.49
rice,karnataka,03-12-2022,2054.37,2416.91
rice,karnataka,31-12-2022,1750.41,2059.31
rice,karnataka,28-01-2023,1814.84,2135.11
rice,karnataka,25-02-2023,1786.78,2102.1
rice,karnataka,25-03-2023,1831.36,2154.54
rice,karnataka,22-04-2023,1733.74,2039.69
rice,karnataka,20-05-2023,1787.8,2103.29
rice,karnataka,17-06-2023,1820.22,2141.44
rice,karnataka,15-07-2023,1801.92,2119.91
rice,karnataka,12-08-2023,1851.71,2178.48
rice,karnataka,09-09-2023,1847.35,2173.35
rice,karnataka,07-10-2023,1902.5,2238.24
rice,karnataka,04-11-2023,1993.97,2345.85
rice,karnataka,02-12-2023,1961.98,2308.21
rice,karnataka,30-12-2023,1707.45,2008.77
rice,karnataka,27-01-2024,1700.61,2000.72
rice,karnataka,24-02-2024,1731.76,2037.36
rice,karnataka,23-03-2024,1873.02,2203.55
rice,karnataka,20-04-2024,1843.11,2168.37
rice,karnataka,18-05-2024,1857.86,2185.72
rice,karnataka,15-06-2024,1798.23,2115.57
rice,karnataka,13-07-2024,1924.06,2263.6
rice,karnataka,10-08-2024,1838.51,2162.95
rice,karnataka,07-09-2024,1900.93,2236.39
rice,karnataka,05-10-2024,2040.95,2401.12
rice,karnataka,02-11-2024,1994.82,2346.85
rice,karnataka,30-11-2024,2000.19,2353.16
rice,karnataka,28-12-2024,1761.85,2072.76
rice,karnataka,25-01-2025,1811.55,2131.23
rice,karnataka,22-02-2025,1822.01,2143.54
rice,karnataka,22-03-2025,1746.02,2054.14
rice,karnataka,19-04-2025,1731.25,2036.76
rice,karnataka,17-05-2025,1803.89,2122.22
rice,karnataka,14-06-2025,1816.2,2136.71
rice,karnataka,12-07-2025,1826.6,2148.94
rice,karnataka,09-08-2025,1986.81,2337.42
rice,karnataka,06-09-2025,1996.54,2348.87
rice,karnataka,04-10-2025,1909.64,2246.64
rice,tamilnadu,01-01-2022,2087.16,2455.48
rice,tamilnadu,29-01-2022,2224.01,2616.48
rice,tamilnadu,26-02-2022,2152.89,2532.81
rice,tamilnadu,26-03-2022,2136.65,2513.71
rice,tamilnadu,23-04-2022,2158.3,2539.18
rice,tamilnadu,21-05-2022,2254.47,2652.32
rice,tamilnadu,18-06-2022,2213.24,2603.81
rice,tamilnadu,16-07-2022,2312.74,2720.87
rice,tamilnadu,13-08-2022,2411.93,2837.56
rice,tamilnadu,10-09-2022,2322.35,2732.18
rice,tamilnadu,08-10-2022,2305.68,2712.57
rice,tamilnadu,05-11-2022,2517.91,2962.25
rice,tamilnadu,03-12-2022,2427.19,2855.52
rice,tamilnadu,31-12-2022,2022.88,2379.86
rice,tamilnadu,28-01-2023,2038.77,2398.55
rice,tamilnadu,25-02-2023,2077.4,2444.0
rice,tamilnadu,25-03-2023,2215.98,2607.04
rice,tamilnadu,22-04-2023,2279.09,2681.28
rice,tamilnadu,20-05-2023,2223.28,2615.62
rice,tamilnadu,17-06-2023,2168.08,2550.68
rice,tamilnadu,15-07-2023,2266.18,2666.1
rice,tamilnadu,12-08-2023,2434.73,2864.39
rice,tamilnadu,09-09-2023,2352.78,2767.98
rice,tamilnadu,07-10-2023,2484.02,2922.38
rice,tamilnadu,04-11-2023,2485.11,2923.66
rice,tamilnadu,02-12-2023,2306.42,2713.44
rice,tamilnadu,30-12-2023,2155.72,2536.14
rice,tamilnadu,27-01-2024,2174.28,2557.98
rice,tamilnadu,24-02-2024,2169.78,2552.68
rice,tamilnadu,23-03-2024,2137.08,2514.21
rice,tamilnadu,20-04-2024,2245.62,2641.91
rice,tamilnadu,18-05-2024,2153.68,2533.74
rice,tamilnadu,15-06-2024,2252.24,2649.69
rice,tamilnadu,13-07-2024,2282.73,2685.56
rice,tamilnadu,10-08-2024,2424.91,2852.84
rice,tamilnadu,07-09-2024,2434.13,2863.68
rice,tamilnadu,05-10-2024,2316.14,2724.87
rice,tamilnadu,02-11-2024,2398.72,2822.02
rice,tamilnadu,30-11-2024,2346.96,2761.13
rice,tamilnadu,28-12-2024,2196.2,2583.76
rice,tamilnadu,25-01-2025,2214.6,2605.41
rice,tamilnadu,22-02-2025,2118.22,2492.02
rice,tamilnadu,22-03-2025,2218.5,2610.0
rice,tamilnadu,19-04-2025,2238.53,2633.57
rice,tamilnadu,17-05-2025,2162.93,2544.62
rice,tamilnadu,14-06-2025,2326.53,2737.1
rice,tamilnadu,12-07-2025,2302.37,2708.67
rice,tamilnadu,09-08-2025,2384.28,2805.03
rice,tamilnadu,06-09-2025,2353.08,2768.33
rice,tamilnadu,04-10-2025,2253.79,2651.52
rice,andhrapradesh,01-01-2022,1768.59,2080.7
rice,andhrapradesh,29-01-2022,1961.76,2307.95
rice,andhrapradesh,26-02-2022,1976.33,2325.1
rice,andhrapradesh,26-03-2022,1991.31,2342.72
rice,andhrapradesh,23-04-2022,1913.02,2250.61
rice,andhrapradesh,21-05-2022,1886.49,2219.4
rice,andhrapradesh,18-06-2022,2072.4,2438.12
rice,andhrapradesh,16-07-2022,2110.38,2482.8
rice,andhrapradesh,13-08-2022,1958.6,2304.24
rice,andhrapradesh,10-09-2022,2063.54,2427.7
rice,andhrapradesh,08-10-2022,1999.6,2352.47
rice,andhrapradesh,05-11-2022,2167.85,2550.41
rice,andhrapradesh,03-12-2022,2192.74,2579.7
rice,andhrapradesh,31-12-2022,1788.83,2104.5
rice,andhrapradesh,28-01-2023,1876.39,2207.52
rice,andhrapradesh,25-02-2023,1913.7,2251.41
rice,andhrapradesh,25-03-2023,1882.11,2214.25
rice,andhrapradesh,22-04-2023,2023.21,2380.25
rice,andhrapradesh,20-05-2023,1958.57,2304.2
rice,andhrapradesh,17-06-2023,1939.37,2281.61
rice,andhrapradesh,15-07-2023,2028.03,2385.92
rice,andhrapradesh,12-08-2023,2090.24,2459.11
rice,andhrapradesh,09-09-2023,2004.68,2358.45
rice,andhrapradesh,07-10-2023,2050.28,2412.09
rice,andhrapradesh,04-11-2023,2217.4,2608.71
rice,andhrapradesh,02-12-2023,2167.98,2550.56
rice,andhrapradesh,30-12-2023,1846.37,2172.2
rice,andhrapradesh,27-01-2024,1884.35,2216.88
rice,andhrapradesh,24-02-2024,1832.05,2155.35
rice,andhrapradesh,23-03-2024,1874.33,2205.09
rice,andhrapradesh,20-04-2024,1918.99,2257.63
rice,andhrapradesh,18-05-2024,1991.17,2342.55
rice,andhrapradesh,15-06-2024,1943.02,2285.91
rice,andhrapradesh,13-07-2024,1963.58,2310.09
rice,andhrapradesh,10-08-2024,1955.61,2300.72
rice,andhrapradesh,07-09-2024,2093.53,2462.98
rice,andhrapradesh,05-10-2024,2032.98,2391.74
rice,andhrapradesh,02-11-2024,2198.45,2586.41
rice,andhrapradesh,30-11-2024,2212.78,2603.27
rice,andhrapradesh,28-12-2024,1778.14,2091.93
rice,andhrapradesh,25-01-2025,1831.76,2155.01
rice,andhrapradesh,22-02-2025,1936.39,2278.11
rice,andhrapradesh,22-03-2025,1872.31,2202.72
rice,andhrapradesh,19-04-2025,1878.85,2210.41
rice,andhrapradesh,17-05-2025,2059.7,2423.18
rice,andhrapradesh,14-06-2025,2011.1,2366.0
rice,andhrapradesh,12-07-2025,2014.57,2370.08
rice,andhrapradesh,09-08-2025,2101.42,2472.26
rice,andhrapradesh,06-09-2025,2129.98,2505.86
rice,andhrapradesh,04-10-2025,2024.92,2382.26
rice,telangana,01-01-2022,1673.88,1969.27
rice,telangana,29-01-2022,1693.48,1992.33
rice,telangana,26-02-2022,1721.85,2025.71
rice,telangana,26-03-2022,1788.63,2104.27
rice,telangana,23-04-2022,1800.27,2117.97
rice,telangana,21-05-2022,1877.32,2208.61
rice,telangana,18-06-2022,1738.9,2045.76
rice,telangana,16-07-2022,1814.83,2135.09
rice,telangana,13-08-2022,1823.91,2145.78
rice,telangana,10-09-2022,1942.53,2285.33
rice,telangana,08-10-2022,1848.1,2174.24
rice,telangana,05-11-2022,1857.39,2185.17
rice,telangana,03-12-2022,1927.84,2268.05
rice,telangana,31-12-2022,1672.33,1967.45
rice,telangana,28-01-2023,1668.73,1963.21
rice,telangana,25-02-2023,1684.33,1981.56
rice,telangana,25-03-2023,1822.59,2144.22
